6,4,13
10,4,-1
10,4,9
11,4,6
5,4,-2
11,4,9
8,4,10
9,4,6
7,4,12
6,3,-2
3,3,10
5,4,13
5,3,6
7,4,11
2,4,17
5,3,9
5,3,10
6,3,9
7,4,13
7,4,12
8,4,6
11,4,-1
5,3,11
6,3,9
7,4,11
10,4,-1
8,4,10
5,3,13
6,4,13
9,4,5
8,4,11
10,4,7
5,4,12
5,4,13
7,4,9
5,3,10
6,4,13
7,3,-4
9,4,5
13,4,8
6,4,12
6,3,-1
3,4,14
8,4,10
9,4,6
9,4,7
8,3,-2
14,4,-3
10,4,-2
10,4,-1
9,4,10
5,4,11
9,4,11
6,4,13
4,3,10
4,3,10
4,3,-2
7,4,11
7,4,10
11,4,-1
8,4,5
6,3,9
6,4,12
5,4,12
13,4,-1
8,4,-4
6,4,11
8,4,10
8,4,10
10,4,6
4,3,-3
8,4,11
10,4,9
7,3,-1
11,4,-2
10,4,-3
6,4,11
11,4,9
6,4,13
11,4,5
10,4,8
9,4,10
5,3,-1
8,3,-4
7,4,12
7,4,9
6,4,13
8,4,10
7,4,13
8,4,-1
7,4,11
8,4,9
4,4,17
8,4,-2
9,4,9
10,4,-4
6,4,13
7,3,-2
8,4,-2
10,4,6
