8,4,7
9,4,9
10,4,10
2,3,11
9,4,-4
7,4,13
6,3,7
6,4,9
7,4,10
7,4,13
6,3,-1
9,4,5
6,4,12
10,4,-2
5,3,7
7,4,11
9,4,7
8,3,-2
9,4,-1
10,4,8
7,3,3
9,4,10
10,4,-3
8,4,9
8,3,-1
7,3,7
6,4,12
8,3,-2
6,3,10
4,3,10
9,4,5
10,4,-1
8,4,-2
9,4,-1
9,4,9
6,3,8
9,4,5
6,3,-2
10,4,10
8,4,-3
5,3,9
8,4,9
5,4,10
2,4,15
6,3,-2
9,4,-1
7,4,13
10,4,9
5,3,8
8,4,10
8,4,12
8,4,10
7,3,-3
8,4,13
5,3,6
10,4,8
9,4,9
8,4,5
9,4,-5
7,4,13
1,3,12
7,4,12
7,4,12
6,3,-2
6,4,-2
10,4,-3
5,3,7
9,4,-2
10,4,5
7,3,8
3,3,10
4,3,11
10,4,8
3,3,-5
5,4,10
6,4,11
7,3,8
8,4,8
6,3,7
4,3,9
6,3,8
7,4,12
10,4,13
8,4,10
5,3,-2
8,4,-2
6,3,8
10,4,7
6,4,15
8,4,6
3,2,10
9,4,10
8,4,9
10,4,11
8,4,10
10,4,9
7,4,14
7,4,11
10,4,-2
6,3,10
