9,4,9
6,3,-3
6,3,-1
4,4,14
6,3,9
8,4,5
8,4,12
7,3,9
5,3,5
9,4,7
8,4,6
6,3,-3
7,4,15
6,3,-1
7,3,4
3,3,9
6,4,12
6,3,9
7,3,7
5,3,7
7,3,10
7,3,-2
7,3,7
5,4,16
7,3,10
7,4,7
7,3,7
5,4,10
6,3,9
5,3,10
8,3,-6
10,4,-2
6,3,3
4,4,15
9,3,6
7,3,9
5,3,9
7,4,10
6,4,14
5,4,13
5,3,-3
6,3,7
7,3,7
4,3,8
6,3,11
7,4,9
6,4,12
7,4,13
6,4,11
6,4,10
7,4,6
3,4,14
6,3,-2
6,4,10
3,2,7
12,4,3
6,3,10
7,3,-1
7,4,-1
8,4,12
8,4,14
6,3,-1
5,4,11
5,4,13
6,3,7
7,4,-2
9,3,5
8,3,-2
7,4,13
5,3,10
6,3,8
7,3,-2
3,3,10
8,4,12
6,3,4
7,3,6
3,4,16
6,3,8
4,3,13
7,3,-1
8,3,9
5,3,-1
8,4,12
8,4,8
9,4,-3
4,3,6
10,4,-2
6,4,15
7,3,-4
7,4,-1
13,4,-1
4,3,9
9,4,-3
7,4,12
4,3,11
6,3,7
6,3,6
6,3,-1
6,3,8
12,4,-2
