4,4,12
10,4,-4
3,4,15
6,3,-3
5,3,6
8,4,11
7,4,10
10,4,-2
8,4,12
8,4,8
8,4,9
12,4,5
4,4,15
8,4,-3
8,4,11
7,4,13
7,4,11
6,4,15
9,4,-2
6,4,11
5,3,9
4,3,-1
10,4,7
8,4,9
5,4,14
9,4,12
10,4,9
8,4,12
8,4,8
9,4,11
10,4,5
8,4,12
7,4,13
10,4,9
8,4,7
7,4,5
8,4,-4
10,4,-1
7,4,13
7,4,9
7,4,10
8,4,5
9,4,10
5,4,13
2,4,16
6,4,9
8,4,11
6,4,13
6,4,15
10,4,10
7,4,9
9,4,8
5,4,14
8,4,-1
10,4,10
6,4,10
6,4,14
10,4,9
12,4,-3
6,4,12
8,4,-2
9,4,10
8,4,10
10,4,-1
6,4,9
5,3,-4
9,4,11
7,4,11
9,4,7
10,4,10
10,4,8
8,4,13
6,4,11
8,4,-1
6,4,10
9,4,-3
6,4,14
9,4,7
7,4,12
8,4,10
5,4,12
5,4,11
13,4,-1
7,4,13
9,4,-1
7,4,11
12,4,-2
7,4,12
9,4,-1
8,4,10
7,4,13
8,4,7
9,4,-1
9,4,6
6,3,11
4,4,13
5,4,-1
6,4,11
6,3,6
5,4,14
